LAUS Code,State,County,County Name/State Abbreviation,Period,Force,Employed,Unemployed,(%)
CN0100100000000,01,001,"Autauga County, AL",Nov-21,26474,25898,576,2.20000000
CN0100300000000,01,003,"Baldwin County, AL",Nov-21,99271,97017,2254,2.30000000
CN0100500000000,01,005,"Barbour County, AL",Nov-21,8081,7741,340,4.20000000
CN0100700000000,01,007,"Bibb County, AL",Nov-21,8638,8416,222,2.60000000
CN0100900000000,01,009,"Blount County, AL",Nov-21,25500,25016,484,1.90000000
CN0101100000000,01,011,"Bullock County, AL",Nov-21,4603,4470,133,2.90000000
CN0101300000000,01,013,"Butler County, AL",Nov-21,8626,8270,356,4.10000000
CN0101500000000,01,015,"Calhoun County, AL",Nov-21,45845,44403,1442,3.10000000
CN0101700000000,01,017,"Chambers County, AL",Nov-21,15816,15395,421,2.70000000
CN0101900000000,01,019,"Cherokee County, AL",Nov-21,11782,11543,239,2.00000000
CN0102100000000,01,021,"Chilton County, AL",Nov-21,20109,19659,450,2.20000000
CN0102300000000,01,023,"Choctaw County, AL",Nov-21,4479,4328,151,3.40000000
CN0102500000000,01,025,"Clarke County, AL",Nov-21,7736,7382,354,4.60000000
CN0102700000000,01,027,"Clay County, AL",Nov-21,6118,5999,119,1.90000000
CN0102900000000,01,029,"Cleburne County, AL",Nov-21,6001,5879,122,2.00000000
CN0103100000000,01,031,"Coffee County, AL",Nov-21,21899,21402,497,2.30000000
CN0103300000000,01,033,"Colbert County, AL",Nov-21,23665,22953,712,3.00000000
CN0103500000000,01,035,"Conecuh County, AL",Nov-21,4323,4169,154,3.60000000
CN0103700000000,01,037,"Coosa County, AL",Nov-21,4338,4234,104,2.40000000
CN0103900000000,01,039,"Covington County, AL",Nov-21,15319,14973,346,2.30000000
CN0104100000000,01,041,"Crenshaw County, AL",Nov-21,6182,6026,156,2.50000000
CN0104300000000,01,043,"Cullman County, AL",Nov-21,39381,38650,731,1.90000000
CN0104500000000,01,045,"Dale County, AL",Nov-21,21039,20517,522,2.50000000
CN0104700000000,01,047,"Dallas County, AL",Nov-21,13805,12973,832,6.00000000
CN0104900000000,01,049,"DeKalb County, AL",Nov-21,31266,30649,617,2.00000000
CN0105100000000,01,051,"Elmore County, AL",Nov-21,37745,36947,798,2.10000000
CN0105300000000,01,053,"Escambia County, AL",Nov-21,13755,13358,397,2.90000000
CN0105500000000,01,055,"Etowah County, AL",Nov-21,39164,37944,1220,3.10000000
CN0105700000000,01,057,"Fayette County, AL",Nov-21,6686,6517,169,2.50000000
CN0105900000000,01,059,"Franklin County, AL",Nov-21,14426,14151,275,1.90000000
CN0106100000000,01,061,"Geneva County, AL",Nov-21,11149,10909,240,2.20000000
CN0106300000000,01,063,"Greene County, AL",Nov-21,2810,2660,150,5.30000000
CN0106500000000,01,065,"Hale County, AL",Nov-21,5991,5730,261,4.40000000
CN0106700000000,01,067,"Henry County, AL",Nov-21,6932,6763,169,2.40000000
CN0106900000000,01,069,"Houston County, AL",Nov-21,47037,45843,1194,2.50000000
CN0107100000000,01,071,"Jackson County, AL",Nov-21,23138,22624,514,2.20000000
CN0107300000000,01,073,"Jefferson County, AL",Nov-21,319682,310965,8717,2.70000000
CN0107500000000,01,075,"Lamar County, AL",Nov-21,5675,5544,131,2.30000000
CN0107700000000,01,077,"Lauderdale County, AL",Nov-21,42520,41487,1033,2.40000000
CN0107900000000,01,079,"Lawrence County, AL",Nov-21,14395,14074,321,2.20000000
CN0108100000000,01,081,"Lee County, AL",Nov-21,77602,75875,1727,2.20000000
CN0108300000000,01,083,"Limestone County, AL",Nov-21,46869,45951,918,2.00000000
CN0108500000000,01,085,"Lowndes County, AL",Nov-21,3542,3301,241,6.80000000
CN0108700000000,01,087,"Macon County, AL",Nov-21,7939,7574,365,4.60000000
CN0108900000000,01,089,"Madison County, AL",Nov-21,192972,188944,4028,2.10000000
CN0109100000000,01,091,"Marengo County, AL",Nov-21,7618,7366,252,3.30000000
CN0109300000000,01,093,"Marion County, AL",Nov-21,13450,13158,292,2.20000000
CN0109500000000,01,095,"Marshall County, AL",Nov-21,44777,43923,854,1.90000000
CN0109700000000,01,097,"Mobile County, AL",Nov-21,192003,185435,6568,3.40000000
CN0109900000000,01,099,"Monroe County, AL",Nov-21,7368,7075,293,4.00000000
